Personality_O,Personality_C,Personality_E,Personality_A,Personality_N,Age,Gender,Interaction_Ad_1,Interaction_Ad_2,Interaction_Ad_3,Interaction_Ad_4,Interaction_Ad_5,Interaction_Ad_6,Interaction_Ad_7,Interaction_Ad_8,Interaction_Ad_9,Interaction_Ad_10,Ad 1,Ad 2,Ad 3,Ad 4,Ad 5,Ad 6,Ad 7,Ad 8,Ad 9,Ad 10
0.19348596795189488,0.044906763596036625,0.20451349968189958,0.5433540064781783,0.87928997380516,49,F,0.9579975167325174,0.7952477144421454,0.03188095655832346,0.19200640359801935,0.8888892391656665,0.6993593489155695,0.6236763860154919,0.8976446322648987,0.622922895530685,0.30309609530364645,1,0,0,0,1,0,0,0,1,0
0.6751911088131665,0.31786890866649475,0.5214278002666418,0.21051125726858166,0.7125157518181762,30,F,0.47273225053097523,0.5756256247966657,0.317072316999788,0.9110236278273177,0.09539043219512267,0.5279992935571257,0.8987293389763252,0.6247410112937443,0.7682090890359143,0.8398524006499288,0,0,0,0,0,0,0,0,1,0
0.8646656682669536,0.3795684188205639,0.9804943471839093,0.8392067325355193,0.6915381038467071,19,F,0.656821847494337,0.18637577940108963,0.7173887730430785,0.0022494662086467443,0.14432737111892313,0.6193934337198608,0.1930010960227717,0.23533965439061166,0.47144505258600555,0.26474000952957677,0,0,0,0,0,0,0,0,0,0
0.691509841013307,0.6750168661997584,0.6544529160172909,0.960404092917147,0.31705274066283984,44,F,0.8239373266789508,0.790842251618892,0.9971857200039305,0.47350514972667623,0.7127055137099768,0.1178761224634226,0.9537341160681427,0.43472827523657354,0.7098633343657097,0.21676127415612279,0,1,0,0,0,0,0,1,0,0
0.8668758912422391,0.32581932790273915,0.9114158079961118,0.05330693159713329,0.9539452524456993,33,F,0.2680026698207143,0.6465053889574197,0.20593315167185733,0.033424476519326785,0.4495248061353956,0.972259541847119,0.36815452659855785,0.5769285184921257,0.22505449211713513,0.031707528496036086,0,0,0,0,0,0,0,0,0,0
0.6797970860632221,0.7158030594611323,0.7832803883067089,0.9700560024640266,0.9055157923029764,40,M,0.2268265978364531,0.7743066968264571,0.7543880274494036,0.8623138298800086,0.7621799661569882,0.4919771380008511,0.21445370353986237,0.28402109083076543,0.9640360357480022,0.09041633017445927,1,1,0,0,0,0,0,0,0,0
0.15073836297457965,0.7339979415244204,0.4907036836868681,0.10117336445869185,0.14975950761879375,54,M,0.4495948772095071,0.6090832400583133,0.12161180457840803,0.7692765904395452,0.0364745945635514,0.7762051140128361,0.27221205573854756,0.7645497237089771,0.6410825747119198,0.5589322589120311,0,0,0,1,0,0,0,0,0,0
0.1732681684044004,0.3779055711604954,0.19204380338974847,0.34639813870324665,0.5666171461276943,19,F,0.11749486405172849,0.15370641423555453,0.5807198598695957,0.9700859954459391,0.1945440762240509,0.8108318407110139,0.603897823769697,0.3127514398316732,0.05582863208135125,0.6380584696988518,1,1,0,0,1,0,0,0,0,0
0.7561229418359321,0.9596214678684083,0.7216995627203843,0.2130806739600284,0.3865440717725347,59,M,0.25186992222656257,0.9286817121664229,0.32710261178201216,0.803056493974044,0.3786076368730068,0.8780053845891939,0.6571552389479831,0.4408688386416668,0.5483483992551735,0.8515947777498665,0,0,0,0,0,0,0,0,0,0
0.9556408074927981,0.8272586127811338,0.7006558215024039,0.7466971748101024,0.7743825012584276,38,M,0.24882104302906993,0.16109987704341233,0.22503236713079455,0.5914746505170321,0.8383211109008075,0.9495135093196182,0.9287068920360068,0.06646154790794001,0.07978651303135498,0.9019225420281024,0,0,1,0,0,0,0,0,0,0
0.34711459128089317,0.6424945428920296,0.9858629477672831,0.33710212605052126,0.1251948912127313,21,F,0.05327941157446314,0.9050475961922321,0.874063944915667,0.7643102428207417,0.7023580483374586,0.18804188956637236,0.21614952782735097,0.678050425066511,0.19466706939521605,0.19853332348939656,0,0,0,0,0,0,0,0,0,0
0.8235284970814133,0.4460199851393407,0.5815361807715977,0.8622626283105495,0.4228956706990781,28,M,0.40290966377083615,0.7292958732818011,0.6854866040237745,0.002231767812652441,0.04072852341441113,0.7288033121283618,0.8583648433750684,0.4741239983270964,0.39159807364763444,0.038735697334746355,0,0,0,0,0,0,0,0,0,0
0.942372947649453,0.8549156985085024,0.3069651078020984,0.3543346791999681,0.8965789044454328,20,M,0.5473421698144433,0.08750943702554803,0.428461859490022,0.7679273992702333,0.5222193254674355,0.49159519398262275,0.5809567006084811,0.9500731163762316,0.6063368153367533,0.3010065512791805,0,0,0,1,0,0,0,0,0,0
0.5313937439695317,0.5278275194297394,0.3350680086729002,0.3256332238099211,0.5849685024532291,58,F,0.9687997744972436,0.9049106636913395,0.4163653996184069,0.8639064452029237,0.7579719696320412,0.25262179609714275,0.29791437423558154,0.030995568581170252,0.9777596221703257,0.1257217846286256,0,0,0,0,0,0,0,0,1,0
0.9375732472304509,0.9864898473813243,0.1481028138424444,0.384420700711666,0.507893230669954,48,F,0.08954124448071099,0.46721458928698534,0.5455546923248876,0.14714402089452328,0.9774417818777832,0.7067970094460744,0.2958645787224111,0.4783683764819566,0.7080319554977031,0.5260171897449503,0,0,0,0,0,0,0,1,0,0
0.8794075658827625,0.6166326318498457,0.5473797121966186,0.7909422948146392,0.8100171849828186,37,M,0.8612773989728592,0.7002509084608095,0.2764091869545626,0.34097722056681135,0.4144133541794912,0.26979797028667674,0.37488939230945184,0.2790826676822331,0.21436431566915715,0.6801120383742253,0,0,0,0,1,0,0,1,0,0
0.6799438822749727,0.9727263089159306,0.5670238905926551,0.15506978106536606,0.3807057634276646,25,M,0.6650948668531083,0.05155441657487292,0.7337301667576726,0.3375978422556022,0.8137864101746953,0.7324969877494767,0.10395612940779908,0.20657385811255402,0.7547840102677589,0.7638229367306018,0,0,0,0,0,0,0,0,0,0
0.3357835747643557,0.6193946280855875,0.03099820470002923,0.6943010179567384,0.6696933285968077,29,M,0.5025573746554998,0.28177564680733513,0.12911758999540934,0.7314165558006985,0.7282800041522641,0.6067055024849156,0.8638154342372709,0.7289486790229126,0.9686210270444361,0.16897052910333954,0,0,0,0,0,0,0,0,0,0
